stock,Date,Open,High,Low,Close,Volume
TRV,2017-07-07,31.39,32.28,31.17,31.49,2435763
TRIP,2017-07-07,31.39,32.28,31.17,31.49,2435763
FOXA,2017-07-07,31.39,32.28,31.17,31.49,2435763
FOX,2017-07-07,31.39,32.28,31.17,31.49,2435763
TSN,2017-07-07,31.39,32.28,31.17,31.49,2435763
UDR,2017-07-07,31.39,32.28,31.17,31.49,2435763
ULTA,2017-07-07,31.39,32.28,31.17,31.49,2435763
USB,2017-07-07,31.39,32.28,31.17,31.49,2435763
UA,2017-07-07,31.39,32.28,31.17,31.49,2435763
UAA,2017-07-07,31.39,32.28,31.17,31.49,2435763
UNP,2017-07-07,31.39,32.28,31.17,31.49,2435763
UAL,2017-07-07,31.39,32.28,31.17,31.49,2435763
UNH,2017-07-07,31.39,32.28,31.17,31.49,2435763
UPS,2017-07-07,31.39,32.28,31.17,31.49,2435763
URI,2017-07-07,31.39,32.28,31.17,31.49,2435763
UTX,2017-07-07,31.39,32.28,31.17,31.49,2435763
UHS,2017-07-07,31.39,32.28,31.17,31.49,2435763
UNM,2017-07-07,31.39,32.28,31.17,31.49,2435763
VFC,2017-07-07,31.39,32.28,31.17,31.49,2435763
VLO,2017-07-07,31.39,32.28,31.17,31.49,2435763
VAR,2017-07-07,31.39,32.28,31.17,31.49,2435763
VTR,2017-07-07,31.39,32.28,31.17,31.49,2435763
VRSN,2017-07-07,31.39,32.28,31.17,31.49,2435763
VRSK,2017-07-07,31.39,32.28,31.17,31.49,2435763
VZ,2017-07-07,31.39,32.28,31.17,31.49,2435763
VRTX,2017-07-07,31.39,32.28,31.17,31.49,2435763
VIAB,2017-07-07,31.39,32.28,31.17,31.49,2435763
V,2017-07-07,31.39,32.28,31.17,31.49,2435763
VNO,2017-07-07,31.39,32.28,31.17,31.49,2435763
VMC,2017-07-07,31.39,32.28,31.17,31.49,2435763
WMT,2017-07-07,31.39,32.28,31.17,31.49,2435763
WBA,2017-07-07,31.39,32.28,31.17,31.49,2435763
DIS,2017-07-07,31.39,32.28,31.17,31.49,2435763
WM,2017-07-07,31.39,32.28,31.17,31.49,2435763
WAT,2017-07-07,31.39,32.28,31.17,31.49,2435763
WEC,2017-07-07,31.39,32.28,31.17,31.49,2435763
WFC,2017-07-07,31.39,32.28,31.17,31.49,2435763
HCN,2017-07-07,31.39,32.28,31.17,31.49,2435763
WDC,2017-07-07,31.39,32.28,31.17,31.49,2435763
WU,2017-07-07,31.39,32.28,31.17,31.49,2435763
WRK,2017-07-07,31.39,32.28,31.17,31.49,2435763
WY,2017-07-07,31.39,32.28,31.17,31.49,2435763
WHR,2017-07-07,31.39,32.28,31.17,31.49,2435763
WFM,2017-07-07,31.39,32.28,31.17,31.49,2435763
WMB,2017-07-07,31.39,32.28,31.17,31.49,2435763
WLTW,2017-07-07,31.39,32.28,31.17,31.49,2435763
WYN,2017-07-07,31.39,32.28,31.17,31.49,2435763
WYNN,2017-07-07,31.39,32.28,31.17,31.49,2435763
XEL,2017-07-07,31.39,32.28,31.17,31.49,2435763
XRX,2017-07-07,31.39,32.28,31.17,31.49,2435763
XLNX,2017-07-07,31.39,32.28,31.17,31.49,2435763
XL,2017-07-07,31.39,32.28,31.17,31.49,2435763
XYL,2017-07-07,31.39,32.28,31.17,31.49,2435763
YUM,2017-07-07,31.39,32.28,31.17,31.49,2435763
ZBH,2017-07-07,31.39,32.28,31.17,31.49,2435763
ZION,2017-07-07,31.39,32.28,31.17,31.49,2435763
ZTS,2017-07-07,31.39,32.28,31.17,31.49,2435763
